Crash ID,SA4 Name 2021,National LGA Name 2024,National Remoteness Areas,National Road Type
20202009,Melbourne - West,Hobsons Bay,Major Cities of Australia,Local Road
20205051,Perth - South East,Serpentine-Jarrahdale,Inner Regional Australia,Arterial Road
20201196,Capital Region,Hilltops,Inner Regional Australia,Local Road
20201032,Murray,Hay,Remote Australia,National or State Highway
20203143,Logan - Beaudesert,Logan,Major Cities of Australia,Sub-arterial Road
20201145,Murray,Greater Hume,Outer Regional Australia,Sub-arterial Road
20207004,Northern Territory - Outback,Alice Springs,Remote Australia,National or State Highway
20202094,Melbourne - Inner,Port Phillip,Major Cities of Australia,Arterial Road
20203156,Sunshine Coast,Sunshine Coast,Major Cities of Australia,Sub-arterial Road
20204061,Adelaide - Central and Hills,Mount Barker,Inner Regional Australia,Arterial Road
20201173,Newcastle and Lake Macquarie,Lake Macquarie,Inner Regional Australia,National or State Highway
20204030,South Australia - Outback,Unincorporated SA,Very Remote Australia,National or State Highway
20201242,Sydney - Inner South West,Bayside (NSW),Major Cities of Australia,Local Road
20201217,Illawarra,Wollongong,Major Cities of Australia,Local Road
20205004,Perth - Inner,Vincent,Major Cities of Australia,Arterial Road
20206025,Hobart,Hobart,Inner Regional Australia,Arterial Road
20203177,Mackay - Isaac - Whitsunday,Mackay,Outer Regional Australia,Sub-arterial Road
20205100,Western Australia - Outback (South),Menzies,Very Remote Australia,Local Road
20204013,Adelaide - West,Charles Sturt,Major Cities of Australia,Sub-arterial Road
20202062,Shepparton,Greater Shepparton,Inner Regional Australia,Local Road
20202180,Latrobe - Gippsland,Bass Coast,Inner Regional Australia,Local Road
20201247,Sydney - Parramatta,Cumberland,Major Cities of Australia,Arterial Road
20203072,Mackay - Isaac - Whitsunday,Isaac,Remote Australia,Sub-arterial Road
20203131,Sunshine Coast,Sunshine Coast,Major Cities of Australia,Sub-arterial Road
20205049,Western Australia - Wheat Belt,Dandaragan,Outer Regional Australia,Local Road
20202190,Ballarat,Pyrenees,Inner Regional Australia,National or State Highway
20203036,Mackay - Isaac - Whitsunday,Whitsunday,Outer Regional Australia,Sub-arterial Road
20203076,Wide Bay,Gympie,Inner Regional Australia,National or State Highway
20201182,Richmond - Tweed,Tweed,Inner Regional Australia,Arterial Road
20205102,Bunbury,Busselton,Inner Regional Australia,Arterial Road
20205119,Western Australia - Wheat Belt,Plantagenet,Outer Regional Australia,Arterial Road
20202058,Melbourne - Inner,Melbourne,Major Cities of Australia,Local Road
20201263,Newcastle and Lake Macquarie,Lake Macquarie,Inner Regional Australia,Collector Road
20202123,Geelong,Greater Geelong,Major Cities of Australia,Local Road
20206030,Hobart,Clarence,Inner Regional Australia,Sub-arterial Road
20203071,Queensland - Outback,Mareeba,Outer Regional Australia,Local Road
20205089,Western Australia - Outback (North),Halls Creek,Very Remote Australia,Local Road
20201114,Capital Region,Yass Valley,Inner Regional Australia,Arterial Road
20201143,Coffs Harbour - Grafton,Coffs Harbour,Inner Regional Australia,National or State Highway
20203239,Moreton Bay - North,Moreton Bay,Major Cities of Australia,Sub-arterial Road
20205020,Western Australia - Wheat Belt,Northam,Inner Regional Australia,National or State Highway
20203032,Ipswich,Ipswich,Major Cities of Australia,Local Road
20203117,Wide Bay,North Burnett,Outer Regional Australia,Sub-arterial Road
20202079,Latrobe - Gippsland,South Gippsland,Inner Regional Australia,National or State Highway
20201112,Central West,Weddin,Outer Regional Australia,Sub-arterial Road
20202170,Bendigo,Greater Bendigo,Inner Regional Australia,National or State Highway
20202080,Shepparton,Greater Shepparton,Inner Regional Australia,Collector Road
20205041,Western Australia - Outback (South),Irwin,Outer Regional Australia,National or State Highway
20201119,Central Coast,Central Coast (NSW),Major Cities of Australia,National or State Highway
20204048,Adelaide - North,Light,Major Cities of Australia,Collector Road
20201038,Coffs Harbour - Grafton,Clarence Valley,Inner Regional Australia,Local Road
20201008,Sydney - Eastern Suburbs,Randwick,Major Cities of Australia,Local Road
20203238,Darling Downs - Maranoa,Southern Downs,Inner Regional Australia,National or State Highway
20201154,Sydney - Parramatta,Parramatta,Major Cities of Australia,Collector Road
20201090,Central West,Mid-Western,Outer Regional Australia,Arterial Road
20203129,Brisbane - South,Brisbane,Major Cities of Australia,Sub-arterial Road
20201164,Far West and Orana,Walgett,Very Remote Australia,Access road
20201132,Richmond - Tweed,Lismore,Inner Regional Australia,Local Road
20201155,Sydney - Parramatta,Cumberland,Major Cities of Australia,National or State Highway
20201153,Mid North Coast,Mid-Coast,Inner Regional Australia,National or State Highway
20201262,Sydney - Baulkham Hills and Hawkesbury,The Hills,Inner Regional Australia,Collector Road
20202060,Shepparton,Campaspe,Inner Regional Australia,Sub-arterial Road
20201144,Hunter Valley exc Newcastle,Cessnock,Inner Regional Australia,Arterial Road
20203175,Wide Bay,South Burnett,Inner Regional Australia,National or State Highway
20201255,New England and North West,Walcha,Outer Regional Australia,Sub-arterial Road
20203214,Wide Bay,Gympie,Outer Regional Australia,National or State Highway
20205124,Perth - South East,Armadale,Major Cities of Australia,National or State Highway
20202096,Bendigo,Macedon Ranges,Inner Regional Australia,National or State Highway
20201025,Capital Region,Eurobodalla,Inner Regional Australia,Local Road
20202132,Shepparton,Greater Shepparton,Inner Regional Australia,Sub-arterial Road
20203040,Cairns,Yarrabah,Outer Regional Australia,Local Road
20203119,Central Queensland,Livingstone,Outer Regional Australia,National or State Highway
20202070,Melbourne - West,Wyndham,Major Cities of Australia,Local Road
20201081,Sydney - South West,Liverpool,Major Cities of Australia,Arterial Road
20203190,Wide Bay,Bundaberg,Inner Regional Australia,Local Road
20203114,Cairns,Douglas,Outer Regional Australia,National or State Highway
20203173,Cairns,Cassowary Coast,Outer Regional Australia,Sub-arterial Road
20202166,North West,Buloke,Outer Regional Australia,National or State Highway
20203226,Townsville,Townsville,Outer Regional Australia,National or State Highway
20208006,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Local Road
20203111,Townsville,Burdekin,Outer Regional Australia,National or State Highway
20205039,Perth - North West,Wanneroo,Inner Regional Australia,Arterial Road
20205045,Western Australia - Wheat Belt,Pingelly,Outer Regional Australia,Arterial Road
20203130,Central Queensland,Central Highlands (Qld),Very Remote Australia,Sub-arterial Road
20203010,Wide Bay,Fraser Coast,Inner Regional Australia,Sub-arterial Road
20205109,Perth - South East,Belmont,Major Cities of Australia,Arterial Road
20204067,Barossa - Yorke - Mid North,Port Pirie,Outer Regional Australia,Arterial Road
20201251,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Arterial Road
20201091,Sydney - South West,Liverpool,Major Cities of Australia,National or State Highway
20201064,Sydney - City and Inner South,Inner West,Major Cities of Australia,Arterial Road
20203211,Queensland - Outback,Cloncurry,Very Remote Australia,National or State Highway
20201200,Capital Region,Yass Valley,Inner Regional Australia,National or State Highway
20203139,Darling Downs - Maranoa,Toowoomba,Outer Regional Australia,Local Road
20203250,Cairns,Cairns,Outer Regional Australia,National or State Highway
20208001,Australian Capital Territory,Unincorporated ACT,Inner Regional Australia,Collector Road
20203148,Brisbane Inner City,Brisbane,Major Cities of Australia,Sub-arterial Road
20201249,Southern Highlands and Shoalhaven,Shoalhaven,Inner Regional Australia,Sub-arterial Road
20202172,Ballarat,Ballarat,Inner Regional Australia,Sub-arterial Road
20201151,New England and North West,Narrabri,Remote Australia,Arterial Road
20202020,Melbourne - Inner East,Boroondara,Major Cities of Australia,Sub-arterial Road
20201226,Sydney - City and Inner South,Sydney,Major Cities of Australia,Local Road
20205028,Western Australia - Outback (North),Broome,Remote Australia,Local Road
20201133,Sydney - Parramatta,Cumberland,Major Cities of Australia,National or State Highway
20202147,Melbourne - Outer East,Knox,Major Cities of Australia,Arterial Road
20204035,Adelaide - Central and Hills,Adelaide Hills,Inner Regional Australia,Arterial Road
20201072,Sydney - City and Inner South,Bayside (NSW),Major Cities of Australia,Collector Road
20203089,Queensland - Outback,Cook,Remote Australia,Collector Road
20202151,Bendigo,Greater Bendigo,Inner Regional Australia,Local Road
20201231,Riverina,Wagga Wagga,Outer Regional Australia,Sub-arterial Road
20202168,Warrnambool and South West,Corangamite,Inner Regional Australia,Sub-arterial Road
20201023,Sydney - City and Inner South,Sydney,Major Cities of Australia,National or State Highway
20201070,Sydney - South West,Liverpool,Major Cities of Australia,Local Road
20201095,Hunter Valley exc Newcastle,Cessnock,Inner Regional Australia,Sub-arterial Road
20205129,Western Australia - Wheat Belt,Kondinin,Remote Australia,Arterial Road
20205118,Perth - South West,Rockingham,Major Cities of Australia,Local Road
20205009,Western Australia - Outback (South),Cue,Very Remote Australia,National or State Highway
20203235,Logan - Beaudesert,Logan,Major Cities of Australia,Sub-arterial Road
20202111,Melbourne - South East,Kingston (Vic.),Major Cities of Australia,Arterial Road
20204071,South Australia - South East,Alexandrina,Inner Regional Australia,Arterial Road
20204019,Adelaide - North,Gawler,Major Cities of Australia,Local Road
20205116,Perth - North East,Swan,Major Cities of Australia,Arterial Road
20201158,Central West,Lithgow,Inner Regional Australia,National or State Highway
20201034,Sydney - Ryde,Hornsby,Major Cities of Australia,National or State Highway
20202025,Mornington Peninsula,Mornington Peninsula,Inner Regional Australia,Arterial Road
20201035,Capital Region,Eurobodalla,Inner Regional Australia,Arterial Road
20201207,Riverina,Wagga Wagga,Inner Regional Australia,Local Road
20201229,Capital Region,Yass Valley,Inner Regional Australia,Arterial Road
20201104,Newcastle and Lake Macquarie,Newcastle,Major Cities of Australia,Arterial Road
20203199,Townsville,Charters Towers,Outer Regional Australia,National or State Highway
20203124,Wide Bay,Gympie,Inner Regional Australia,National or State Highway
20201213,Murray,Hay,Outer Regional Australia,Local Road
20201189,Sydney - Inner South West,Georges River,Major Cities of Australia,Arterial Road
20203153,Wide Bay,Bundaberg,Inner Regional Australia,National or State Highway
20201088,Capital Region,Eurobodalla,Inner Regional Australia,National or State Highway
20202157,Ballarat,Hepburn,Inner Regional Australia,National or State Highway
20201092,Mid North Coast,Kempsey,Inner Regional Australia,Sub-arterial Road
20203057,Moreton Bay - North,Moreton Bay,Inner Regional Australia,National or State Highway
20206014,South East,Huon Valley,Outer Regional Australia,National or State Highway
20203212,Logan - Beaudesert,Scenic Rim,Inner Regional Australia,Sub-arterial Road
20202128,Mornington Peninsula,Frankston,Major Cities of Australia,Local Road
20202156,Mornington Peninsula,Mornington Peninsula,Major Cities of Australia,Arterial Road
20202032,Hume,Indigo,Inner Regional Australia,Access road
20202177,Latrobe - Gippsland,East Gippsland,Outer Regional Australia,Local Road
20206012,Launceston and North East,West Tamar,Outer Regional Australia,Collector Road
20202015,Ballarat,Ballarat,Inner Regional Australia,National or State Highway
20201003,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,Collector Road
20207024,Northern Territory - Outback,Barkly,Very Remote Australia,National or State Highway
20201066,Riverina,Griffith,Outer Regional Australia,Access road
20203194,Brisbane - East,Brisbane,Major Cities of Australia,Sub-arterial Road
20207002,Northern Territory - Outback,MacDonnell,Very Remote Australia,Access road
20206028,Launceston and North East,Launceston,Inner Regional Australia,Local Road
20203142,Wide Bay,Gympie,Inner Regional Australia,Access road
20203064,Moreton Bay - North,Moreton Bay,Major Cities of Australia,Local Road
20203106,Moreton Bay - North,Moreton Bay,Major Cities of Australia,Collector Road
20203184,Moreton Bay - North,Moreton Bay,Major Cities of Australia,Local Road
20203206,Logan - Beaudesert,Scenic Rim,Outer Regional Australia,National or State Highway
20205002,Western Australia - Wheat Belt,Wagin,Outer Regional Australia,Arterial Road
20202065,Latrobe - Gippsland,South Gippsland,Inner Regional Australia,National or State Highway
20203188,Wide Bay,Bundaberg,Inner Regional Australia,Sub-arterial Road
20205098,Bunbury,Busselton,Inner Regional Australia,Local Road
20201162,Riverina,Wagga Wagga,Inner Regional Australia,National or State Highway
20207001,Northern Territory - Outback,West Arnhem,Very Remote Australia,Sub-arterial Road
20203030,Gold Coast,Gold Coast,Major Cities of Australia,Collector Road
20202099,Geelong,Greater Geelong,Major Cities of Australia,Sub-arterial Road
20202035,Melbourne - Outer East,Whitehorse,Major Cities of Australia,Arterial Road
20202090,Shepparton,Greater Shepparton,Inner Regional Australia,National or State Highway
20201239,Sydney - City and Inner South,Sydney,Major Cities of Australia,National or State Highway
20206018,Hobart,Kingborough,Inner Regional Australia,Arterial Road
20203123,Sunshine Coast,Sunshine Coast,Major Cities of Australia,National or State Highway
20205027,Perth - South East,Serpentine-Jarrahdale,Major Cities of Australia,Arterial Road
20205074,Bunbury,Dardanup,Inner Regional Australia,National or State Highway
20201126,Sydney - South West,Fairfield,Major Cities of Australia,Collector Road
20203132,Wide Bay,Gympie,Inner Regional Australia,Collector Road
20205130,Perth - North West,Wanneroo,Inner Regional Australia,National or State Highway
20207028,Northern Territory - Outback,Victoria Daly,Very Remote Australia,National or State Highway
20202106,Hume,Alpine,Inner Regional Australia,National or State Highway
20201241,Central West,Cabonne,Inner Regional Australia,Arterial Road
20203236,Wide Bay,Fraser Coast,Inner Regional Australia,National or State Highway
20205111,Western Australia - Outback (South),Kalgoorlie-Boulder,Outer Regional Australia,National or State Highway
20202075,North West,Mildura,Outer Regional Australia,Local Road
20203234,Moreton Bay - South,Moreton Bay,Major Cities of Australia,Collector Road
20204037,Adelaide - South,Marion,Major Cities of Australia,Sub-arterial Road
20203033,Central Queensland,Central Highlands (Qld),Remote Australia,National or State Highway
20201044,Richmond - Tweed,Tweed,Major Cities of Australia,National or State Highway
20203094,Central Queensland,Gladstone,Inner Regional Australia,Sub-arterial Road
20205015,Western Australia - Outback (South),Meekatharra,Very Remote Australia,Local Road
20201204,New England and North West,Armidale,Inner Regional Australia,Local Road
20203157,Wide Bay,Gympie,Inner Regional Australia,Sub-arterial Road
20201187,Hunter Valley exc Newcastle,Port Stephens,Inner Regional Australia,Sub-arterial Road
20203135,Cairns,Cairns,Outer Regional Australia,National or State Highway
20201137,New England and North West,Inverell,Outer Regional Australia,Arterial Road
20204082,Adelaide - South,Holdfast Bay,Major Cities of Australia,Arterial Road
20201056,Far West and Orana,Unincorporated NSW,Remote Australia,Access road
20203171,Wide Bay,South Burnett,Inner Regional Australia,National or State Highway
20202145,Hume,Mitchell,Inner Regional Australia,Sub-arterial Road
20201140,New England and North West,Glen Innes Severn,Outer Regional Australia,National or State Highway
20203198,Logan - Beaudesert,Logan,Major Cities of Australia,Local Road
20201138,Sydney - Outer South West,Wollondilly,Major Cities of Australia,Local Road
20201007,New England and North West,Tamworth,Inner Regional Australia,Local Road
20203043,Darling Downs - Maranoa,Goondiwindi,Outer Regional Australia,National or State Highway
20201016,Far West and Orana,Dubbo,Outer Regional Australia,National or State Highway
20204036,Adelaide - North,Salisbury,Major Cities of Australia,Sub-arterial Road
20202069,Geelong,Greater Geelong,Major Cities of Australia,Local Road
20207019,Northern Territory - Outback,Victoria Daly,Very Remote Australia,Sub-arterial Road
20205050,Perth - North West,Joondalup,Major Cities of Australia,National or State Highway
20202176,Bendigo,Mount Alexander,Inner Regional Australia,Arterial Road
20207011,Northern Territory - Outback,Katherine,Remote Australia,National or State Highway
20205072,Perth - South East,Kalamunda,Major Cities of Australia,Arterial Road
20203029,Darling Downs - Maranoa,Balonne,Remote Australia,Collector Road
20205093,Bunbury,Dardanup,Inner Regional Australia,Arterial Road
20202023,Warrnambool and South West,Colac Otway,Inner Regional Australia,Sub-arterial Road
20203093,Central Queensland,Banana,Remote Australia,National or State Highway
20208003,Australian Capital Territory,Unincorporated ACT,Major Cities of Australia,Local Road
20201159,Murray,Federation,Outer Regional Australia,Sub-arterial Road
20201063,Hunter Valley exc Newcastle,Mid-Coast,Inner Regional Australia,National or State Highway
20201087,Sydney - City and Inner South,Sydney,Major Cities of Australia,Collector Road
20203018,Wide Bay,Bundaberg,Inner Regional Australia,Sub-arterial Road
20206020,Launceston and North East,Meander Valley,Outer Regional Australia,National or State Highway
20205031,Western Australia - Outback (North),Derby-West Kimberley,Very Remote Australia,Local Road
20202091,North West,Northern Grampians,Inner Regional Australia,Collector Road
20202159,Latrobe - Gippsland,East Gippsland,Outer Regional Australia,Local Road
20203005,Townsville,Townsville,Outer Regional Australia,National or State Highway
20203042,Queensland - Outback,Mareeba,Very Remote Australia,Local Road
20203209,Gold Coast,Gold Coast,Major Cities of Australia,Sub-arterial Road
20205117,Bunbury,Donnybrook-Balingup,Inner Regional Australia,Arterial Road
20203109,Queensland - Outback,Mareeba,Outer Regional Australia,Local Road
20201102,Far West and Orana,Warrumbungle,Outer Regional Australia,National or State Highway
20205025,Bunbury,Manjimup,Outer Regional Australia,Arterial Road
20201195,Central West,Cabonne,Outer Regional Australia,Arterial Road
20204069,Barossa - Yorke - Mid North,Yorke Peninsula,Outer Regional Australia,Collector Road
20201224,Sydney - Sutherland,Sutherland,Major Cities of Australia,National or State Highway
20201084,Sydney - Northern Beaches,Northern Beaches,Major Cities of Australia,Local Road
20201198,Hunter Valley exc Newcastle,Cessnock,Inner Regional Australia,Arterial Road
20203107,Wide Bay,Fraser Coast,Remote Australia,Access road
20201040,Sydney - South West,Liverpool,Major Cities of Australia,Collector Road
20204039,Adelaide - Central and Hills,Mount Barker,Inner Regional Australia,Arterial Road
20201240,New England and North West,Tenterfield,Outer Regional Australia,National or State Highway
20204063,Adelaide - North,Salisbury,Major Cities of Australia,National or State Highway
20204022,South Australia - South East,Mid Murray,Outer Regional Australia,National or State Highway
20203245,Sunshine Coast,Sunshine Coast,Major Cities of Australia,Sub-arterial Road
20203035,Darling Downs - Maranoa,Southern Downs,Outer Regional Australia,Local Road
20203001,Queensland - Outback,Lockhart River,Very Remote Australia,Collector Road
20205056,Perth - South East,Canning,Major Cities of Australia,National or State Highway
20202050,Melbourne - South East,Monash,Major Cities of Australia,Arterial Road
20202116,Melbourne - South East,Monash,Major Cities of Australia,Arterial Road
20202122,Latrobe - Gippsland,East Gippsland,Outer Regional Australia,National or State Highway
20202101,Warrnambool and South West,Corangamite,Outer Regional Australia,National or State Highway
20203056,Wide Bay,Bundaberg,Inner Regional Australia,National or State Highway
20203210,Ipswich,Ipswich,Major Cities of Australia,Local Road
20202014,Hume,Murrindindi,Inner Regional Australia,Collector Road
20203243,Wide Bay,Fraser Coast,Inner Regional Australia,National or State Highway
20201080,Sydney - Blacktown,Blacktown,Major Cities of Australia,National or State Highway
20201120,Newcastle and Lake Macquarie,Lake Macquarie,Major Cities of Australia,National or State Highway
20205133,Bunbury,Busselton,Inner Regional Australia,Local Road
20203046,Brisbane - South,Brisbane,Major Cities of Australia,Local Road
20201130,Southern Highlands and Shoalhaven,Shoalhaven,Inner Regional Australia,Sub-arterial Road
20204076,South Australia - Outback,Cleve,Remote Australia,Arterial Road
20201211,Richmond - Tweed,Ballina,Inner Regional Australia,Sub-arterial Road
20203225,Brisbane - East,Redland,Major Cities of Australia,Sub-arterial Road
20206015,Hobart,Brighton,Inner Regional Australia,Arterial Road
20203122,Gold Coast,Gold Coast,Inner Regional Australia,Local Road
20202076,Bendigo,Greater Bendigo,Inner Regional Australia,Local Road
20201135,Sydney - Baulkham Hills and Hawkesbury,The Hills,Inner Regional Australia,Arterial Road
20203081,Ipswich,Lockyer Valley,Inner Regional Australia,National or State Highway
20205081,Western Australia - Wheat Belt,Quairading,Outer Regional Australia,Arterial Road
20205032,Mandurah,Mandurah,Major Cities of Australia,Local Road
20204075,Adelaide - North,Salisbury,Major Cities of Australia,Local Road
20207025,Northern Territory - Outback,Barkly,Very Remote Australia,National or State Highway
20204085,Barossa - Yorke - Mid North,Light,Inner Regional Australia,National or State Highway
20204034,South Australia - Outback,Whyalla,Outer Regional Australia,Local Road
20201163,Richmond - Tweed,Kyogle,Outer Regional Australia,Arterial Road
20205033,Perth - South East,Serpentine-Jarrahdale,Major Cities of Australia,Arterial Road
20201172,Coffs Harbour - Grafton,Clarence Valley,Inner Regional Australia,Sub-arterial Road
20201181,Southern Highlands and Shoalhaven,Shoalhaven,Inner Regional Australia,Local Road
20204017,Barossa - Yorke - Mid North,Adelaide Plains,Inner Regional Australia,National or State Highway
20203241,Mackay - Isaac - Whitsunday,Mackay,Inner Regional Australia,Sub-arterial Road
20202154,Shepparton,Moira,Inner Regional Australia,National or State Highway
20203108,Wide Bay,Fraser Coast,Inner Regional Australia,National or State Highway
20205036,Perth - North East,Swan,Major Cities of Australia,National or State Highway
20203187,Toowoomba,Toowoomba,Inner Regional Australia,Collector Road
20202089,Melbourne - Inner,Yarra,Major Cities of Australia,Arterial Road
20203136,Sunshine Coast,Sunshine Coast,Major Cities of Australia,Sub-arterial Road
20203009,Townsville,Hinchinbrook,Remote Australia,Sub-arterial Road
20202084,Melbourne - North East,Nillumbik,Major Cities of Australia,Arterial Road
20201101,Hunter Valley exc Newcastle,Port Stephens,Inner Regional Australia,Sub-arterial Road
20201094,Sydney - Outer West and Blue Mountains,Blue Mountains,Inner Regional Australia,National or State Highway
20203008,Cairns,Cassowary Coast,Remote Australia,National or State Highway
20201124,Southern Highlands and Shoalhaven,Wingecarribee,Inner Regional Australia,National or State Highway
20205064,Mandurah,Mandurah,Major Cities of Australia,Local Road
20203217,Brisbane - South,Brisbane,Major Cities of Australia,Collector Road
20203037,Logan - Beaudesert,Logan,Major Cities of Australia,Sub-arterial Road
20203075,Moreton Bay - South,Moreton Bay,Major Cities of Australia,National or State Highway
20203204,Moreton Bay - North,Moreton Bay,Major Cities of Australia,Local Road
20203249,Ipswich,Scenic Rim,Inner Regional Australia,Sub-arterial Road
20202034,Latrobe - Gippsland,East Gippsland,Remote Australia,Arterial Road
20201041,Sydney - Eastern Suburbs,Waverley,Major Cities of Australia,Local Road
20205019,Western Australia - Outback (South),Greater Geraldton,Outer Regional Australia,Arterial Road
20201257,Mid North Coast,Mid-Coast,Inner Regional Australia,Arterial Road
20205052,Bunbury,Capel,Inner Regional Australia,Local Road
20205073,Perth - Inner,Perth,Major Cities of Australia,National or State Highway
20207020,Darwin,Litchfield,Outer Regional Australia,Sub-arterial Road
20207023,Northern Territory - Outback,Central Desert,Very Remote Australia,Sub-arterial Road
20202110,Hume,Wangaratta,Inner Regional Australia,Arterial Road
20202093,Melbourne - South East,Cardinia,Major Cities of Australia,Arterial Road
20201125,Capital Region,Snowy Monaro,Outer Regional Australia,Sub-arterial Road
20201062,Sydney - Inner South West,Canterbury-Bankstown,Major Cities of Australia,Arterial Road
20201067,Sydney - Outer West and Blue Mountains,Blue Mountains,Major Cities of Australia,National or State Highway
20205125,Western Australia - Wheat Belt,Gingin,Inner Regional Australia,Arterial Road
20203060,Mackay - Isaac - Whitsunday,Isaac,Remote Australia,National or State Highway
20202195,Melbourne - South East,Casey,Major Cities of Australia,Arterial Road
20203101,Mackay - Isaac - Whitsunday,Whitsunday,Remote Australia,Sub-arterial Road
20201142,New England and North West,Gunnedah,Outer Regional Australia,Sub-arterial Road
20205053,Perth - South East,Canning,Major Cities of Australia,Arterial Road
20203080,Logan - Beaudesert,Logan,Major Cities of Australia,Sub-arterial Road
20203041,Townsville,Townsville,Outer Regional Australia,National or State Highway
20207006,Northern Territory - Outback,Katherine,Remote Australia,Sub-arterial Road
20202114,Melbourne - Outer East,Yarra Ranges,Inner Regional Australia,Arterial Road
20203096,Logan - Beaudesert,Logan,Major Cities of Australia,Sub-arterial Road
20204011,Adelaide - West,West Torrens,Major Cities of Australia,Collector Road
20202164,Hume,Wangaratta,Outer Regional Australia,Arterial Road
20203218,Logan - Beaudesert,Logan,Major Cities of Australia,Collector Road
20201220,Sydney - Outer West and Blue Mountains,Penrith,Major Cities of Australia,Local Road
20201234,Sydney - Outer West and Blue Mountains,Blue Mountains,Major Cities of Australia,National or State Highway
20201004,Southern Highlands and Shoalhaven,Shoalhaven,Inner Regional Australia,National or State Highway
20202012,Latrobe - Gippsland,Latrobe (Vic.),Inner Regional Australia,Local Road
20201258,Sydney - Blacktown,Blacktown,Major Cities of Australia,Collector Road
20201252,Sydney - South West,Liverpool,Major Cities of Australia,National or State Highway
20201026,Sydney - Blacktown,Blacktown,Major Cities of Australia,Collector Road
20205022,Mandurah,Murray,Inner Regional Australia,Arterial Road
20202119,Geelong,Greater Geelong,Major Cities of Australia,Local Road
20201052,Murray,Greater Hume,Inner Regional Australia,Sub-arterial Road
20203229,Brisbane Inner City,Brisbane,Major Cities of Australia,National or State Highway
20202193,Melbourne - South East,Casey,Major Cities of Australia,National or State Highway
20203079,Wide Bay,Fraser Coast,Inner Regional Australia,National or State Highway
20204050,South Australia - Outback,Whyalla,Outer Regional Australia,Local Road
20201233,New England and North West,Tamworth,Outer Regional Australia,Arterial Road
20201146,Sydney - Blacktown,Blacktown,Major Cities of Australia,Arterial Road
20205065,Western Australia - Outback (North),Wyndham-East Kimberley,Very Remote Australia,Arterial Road
20202028,Melbourne - North East,Banyule,Major Cities of Australia,Collector Road
20203127,Gold Coast,Gold Coast,Major Cities of Australia,National or State Highway
20205123,Perth - North West,Joondalup,Major Cities of Australia,Local Road
20203077,Sunshine Coast,Sunshine Coast,Major Cities of Australia,Local Road
20202171,Melbourne - South East,Monash,Major Cities of Australia,Arterial Road
20201039,Central Coast,Central Coast (NSW),Major Cities of Australia,Local Road
20205071,Bunbury,Dardanup,Inner Regional Australia,Local Road
20201129,Capital Region,Hilltops,Outer Regional Australia,Sub-arterial Road
20201031,Far West and Orana,Narromine,Outer Regional Australia,Local Road
20201177,Sydney - Northern Beaches,Northern Beaches,Major Cities of Australia,Local Road
20202178,Melbourne - South East,Greater Dandenong,Major Cities of Australia,Arterial Road
20205120,Perth - South West,Rockingham,Major Cities of Australia,Local Road
20201218,Sydney - City and Inner South,Randwick,Major Cities of Australia,Arterial Road
20203121,Central Queensland,Rockhampton,Inner Regional Australia,National or State Highway
20201193,Central West,Bathurst,Inner Regional Australia,Access road
20205063,Perth - North East,Mundaring,Major Cities of Australia,Local Road
20204015,Adelaide - North,Playford,Major Cities of Australia,National or State Highway
20205094,Perth - South West,Rockingham,Major Cities of Australia,National or State Highway
20205057,Perth - North West,Wanneroo,Major Cities of Australia,Local Road
20206027,South East,Tasman,Outer Regional Australia,National or State Highway
20202108,Melbourne - West,Maribyrnong,Major Cities of Australia,Local Road
20203087,Cairns,Cairns,Outer Regional Australia,Local Road
20203125,Logan - Beaudesert,Scenic Rim,Inner Regional Australia,National or State Highway
20202007,Melbourne - Outer East,Maroondah,Major Cities of Australia,Local Road
20201131,Richmond - Tweed,Richmond Valley,Inner Regional Australia,National or State Highway
20203020,Sunshine Coast,Sunshine Coast,Major Cities of Australia,Local Road
20203165,Moreton Bay - South,Moreton Bay,Major Cities of Australia,National or State Highway
20202022,Bendigo,Greater Bendigo,Inner Regional Australia,National or State Highway
20202051,Melbourne - West,Wyndham,Major Cities of Australia,National or State Highway
20203045,Logan - Beaudesert,Logan,Major Cities of Australia,Local Road
20201169,Sydney - North Sydney and Hornsby,North Sydney,Major Cities of Australia,Collector Road
20201238,Sydney - South West,Liverpool,Major Cities of Australia,Local Road
20203104,Wide Bay,Fraser Coast,Inner Regional Australia,Local Road
20201086,Murray,Wentworth,Remote Australia,National or State Highway
20201225,Riverina,Snowy Valleys,Inner Regional Australia,National or State Highway
20204007,South Australia - South East,Alexandrina,Inner Regional Australia,National or State Highway
20205066,Western Australia - Outback (North),Broome,Very Remote Australia,Local Road
20201150,Mid North Coast,Port Macquarie-Hastings,Inner Regional Australia,Local Road
20203246,Wide Bay,South Burnett,Outer Regional Australia,Local Road
20201219,Sydney - Outer South West,Campbelltown (NSW),Major Cities of Australia,National or State Highway
20201191,Murray,Greater Hume,Outer Regional Australia,Arterial Road
20202139,Ballarat,Moorabool,Inner Regional Australia,Arterial Road
20203031,Wide Bay,South Burnett,Inner Regional Australia,Local Road
20203112,Darling Downs - Maranoa,Toowoomba,Inner Regional Australia,National or State Highway
20207018,Northern Territory - Outback,Barkly,Very Remote Australia,Access road
